ClientID,ClientName,TransactionDate,Product,Amount,PaymentMethod
deb1adc4-e68d-442e-94ab-1555dad248fd,Misty Rodriguez,2024-05-20,kind,117.75,Credit Card
e6b4daa9-2c61-4211-982d-07694af6ffaa,Kelsey Walton,2024-05-25,person,23.19,Bank Transfer
2dda8e9c-73fa-4baf-b1a8-20b3b86e9b3b,Matthew Horn,2024-08-06,example,465.42,Bank Transfer
34049913-0663-4a55-ace6-1692de1216e1,Glenn Sherman,2024-06-14,agency,35.68,Credit Card
04d12ced-b666-446c-9cdf-2128fabd2fe3,Ryan Gonzalez,2024-10-20,group,26.12,PayPal
6df330ee-97f4-495b-b136-ca51a79e5ffd,Mark Taylor,2024-01-27,if,82.2,Bank Transfer
a217199f-2def-439e-8e41-2fb811bfe287,Shelley Morales,2024-04-11,remain,77.46,PayPal
3462af3f-b478-45d0-8f98-ed64004c1c98,Shelly Cervantes,2024-04-13,whatever,448.68,Credit Card
d4b46dbc-431b-4c55-8750-299549e0cd1f,Christian Skinner,2024-04-22,officer,113.15,PayPal
abc3f683-9238-4b6f-9e6b-6ed81a22a840,Eric Williamson,2024-04-08,boy,20.24,Bank Transfer
b2a2fbff-6c90-4f03-ac8a-85a2188b95ee,Laurie Benjamin,2024-08-29,continue,55.65,Credit Card
5019e2aa-20b4-4c0c-9181-60cda05da846,Justin May Jr.,2024-04-23,mouth,107.27,PayPal
b720f57f-4f9e-420a-8e72-08cbbecfbd82,Melanie Walker,2024-10-07,action,243.55,PayPal
533f4a1d-d6aa-4a32-8419-4b1bc34b6438,Julie Crawford,2024-04-06,these,184.21,PayPal
9c2e0295-f4dc-4549-ba98-3b137016d144,James Estrada,2024-10-29,result,107.05,PayPal
5d898321-4058-4117-9b8a-cb9a91e08fd4,Brandon Jackson,2024-07-20,hour,153.17,Credit Card
1488b973-6863-4908-a18f-5f3c06d74dd2,Scott Martinez,2024-03-11,paper,414.37,Bank Transfer
46487a3f-04fa-42ee-bf61-f0530481db6f,Daniel Martinez,2024-03-15,involve,24.41,PayPal
1c286bf0-9c35-4403-8e32-a1881fc7f9b7,Anthony Harper,2024-07-18,first,255.74,PayPal
b2831eb7-b369-4147-887d-35857a04317c,Anthony Lee,2024-01-29,cost,378.12,Credit Card
eb456985-d8fd-4bb5-b155-5265793b7245,Anthony Brown,2024-03-28,artist,401.02,Bank Transfer
0d695a4c-ec58-46d3-ae9a-3e94ec006089,Daniel Keller,2024-02-26,than,265.17,Credit Card
60f8877b-00f3-49d0-8d41-b065a80db569,Amy Martin,2024-08-10,real,122.77,PayPal
e1b7a74e-d6fe-4a0a-9414-cbc2dfe8da97,Robert Martin,2024-04-08,north,129.25,Bank Transfer
